DATASET,COSMIC_ID,DRUG_ID,MIN_CONC,MAX_CONC,RMSE_PUBLISHED,Z_SCORE_PUBLISHED,IC50_PUBLISHED,AUC_PUBLISHED,ARXSPAN_ID,DRUG_NAME,BROAD_ID,upper_limit,ec50,slope,lower_limit,auc,log2.ic50,mse,R2
GDSC1,910697,9,0.003906,1,0.123581,-1.665898,0.087777946,0.549753,ACH-001442,MG-132,BRD-K60230970,1.018809271,0.144907008,-1.259602182,-0.126711711,0.608342801,-3.003218024,0.001513691,0.989950347
GDSC1,910700,9,0.003906,1,0.135843,-0.745777,0.327383504,0.732392,ACH-000009,MG-132,BRD-K60230970,0.918010595,0.325651936,-2.916381743,0.257333718,0.782818492,-1.349561553,0.004417148,0.925697734
GDSC1,910703,9,0.003906,1,0.043614,1.502862,8.16840775,0.97409,ACH-000440,MG-132,BRD-K60230970,1.125430429,0.011134882,-0.197126186,0.868588884,0.97514199,,0.000822305,0.375079039
GDSC1,910706,9,0.003906,1,0.100364,-1.774103,0.075189552,0.533039,ACH-000245,MG-132,BRD-K60230970,0.927595389,0.094974492,-5.028576712,-0.002379483,0.533200182,-3.442555559,0.000125077,0.999330048
GDSC1,910710,9,0.003906,1,0.249088,0.243383,1.347791059,0.906197,ACH-000432,MG-132,BRD-K60230970,0.945901059,10.03007799,-1.178978902,-6.725943242,0.871021854,-0.082103982,0.049839307,0.258244992
GDSC1,910780,9,0.003906,1,0.16176,-0.197007,0.717806676,0.869039,ACH-001674,MG-132,BRD-K60230970,0.981055008,0.599870372,-10.33034652,0.070599605,0.897066949,-0.721413466,0.000331529,0.995861665
GDSC1,910861,9,0.003906,1,0.017441,1.017,4.076341928,0.96502,ACH-000371,MG-132,BRD-K60230970,0.996861033,0.490271626,-7.899984241,0.868062031,0.980294257,,2.97E-05,0.984456697
GDSC1,910905,9,0.003906,1,0.05778,2.972679,66.88602156,0.975537,ACH-000722,MG-132,BRD-K60230970,,,,,,,,
GDSC1,910906,9,0.003906,1,0.146812,0.07922,1.065682032,0.893075,ACH-000567,MG-132,BRD-K60230970,0.969926977,0.885207702,-2.630908502,0.143571274,0.92085421,-0.024320998,0.016773945,0.574542073
GDSC1,910910,9,0.003906,1,0.092947,1.025561,4.126580096,0.952103,ACH-000568,MG-132,BRD-K60230970,0.972555172,2.312693611,-2.029735843,0.007608939,0.958193817,,0.004456804,0.325641423
GDSC1,910911,9,0.003906,1,0.034482,1.919379,14.82242149,0.974097,ACH-000254,MG-132,BRD-K60230970,1.033661677,0.799434625,-0.141375534,0.909889996,0.982671611,,0.000185057,0.233936243
GDSC1,910918,9,0.003906,1,0.127912,-0.112499,0.810051867,0.88456,ACH-002215,MG-132,BRD-K60230970,0.998127216,0.612899339,-7.794740233,0.248148813,0.931537691,-0.580046522,7.96E-06,0.999848302
GDSC1,910919,9,0.003906,1,0.174034,0.290617,1.44201148,0.934947,ACH-002214,MG-132,BRD-K60230970,0.997378442,0.675988738,-6.200678026,0.509178526,0.961703425,,0.03206218,0.441607033
GDSC1,910921,9,0.003906,1,0.150438,-2.874559,0.015575548,0.310811,ACH-000008,MG-132,BRD-K60230970,0.820829085,0.041626717,-1.021234026,0.080748554,0.402728772,-4.96433081,0.017604193,0.761508603
GDSC1,910930,9,0.003906,1,0.262707,-0.266365,0.650003195,0.883085,ACH-001642,MG-132,BRD-K60230970,0.980489466,0.278228406,-3.984895485,0.5001824,0.86954673,,0.055394178,0.387433371
GDSC1,910932,9,0.003906,1,0.126052,-0.978249,0.234758724,0.710684,ACH-002120,MG-132,BRD-K60230970,0.964092643,0.262239934,-3.412051882,0.105776174,0.756443308,-1.862050562,0.001273152,0.988608824
GDSC1,910933,9,0.003906,1,0.129012,1.096988,4.570542926,0.962917,ACH-000269,MG-132,BRD-K60230970,1.787347879,0.003050686,-8.777859261,0.910085359,0.912033963,,0.003400426,0.189973348
GDSC1,910934,9,0.003906,1,0.181186,-1.018516,0.221617357,0.69497,ACH-000157,MG-132,BRD-K60230970,1.000342161,0.224327451,-4.882487578,0.070110828,0.749446668,-2.111476272,5.81E-05,0.999614954
GDSC1,910935,9,0.003906,1,0.127368,-0.386468,0.547388221,0.85228,ACH-000697,MG-132,BRD-K60230970,0.980920342,0.535990228,-11.95443766,0.006891636,0.871367537,-0.902721806,0.000188274,0.998024481
GDSC1,910937,9,0.003906,1,0.164872,-0.092388,0.833695543,0.880889,ACH-000257,MG-132,BRD-K60230970,0.965302672,1.127080019,-6.976050144,-1.625253249,0.941159506,-0.141521734,0.000347695,0.994291202
GDSC1,910942,9,0.003906,1,0.119137,-1.601953,0.096186525,0.573643,ACH-002288,MG-132,BRD-K60230970,0.924250444,0.099787189,-4.606503753,0.208760884,0.626874277,-3.207187295,0.001903506,0.982643053
GDSC1,910943,9,0.003906,1,0.248046,-1.463756,0.117213057,0.587109,ACH-000464,MG-132,BRD-K60230970,0.681090012,0.500267667,-12.59907287,0.269253095,0.62964919,-1.026956804,0.003670666,0.836757998
GDSC1,910944,9,0.003906,1,0.205764,-0.745418,0.327551822,0.74303,ACH-002209,MG-132,BRD-K60230970,0.959356818,0.344341863,-8.10552318,0.017884097,0.778344807,-1.546694222,8.79E-05,0.99938858
GDSC1,910947,9,0.003906,1,0.100865,-0.95452,0.24286489,0.736677,ACH-000113,MG-132,BRD-K60230970,0.968114572,0.274577793,-6.957851671,-0.003626017,0.741838292,-1.879874636,8.55E-05,0.999450997
GDSC1,910948,9,0.003906,1,0.042083,1.041408,4.22119811,0.947802,,MG-132,BRD-K60230970,0.999248789,0.569750648,-6.498562312,0.781249396,0.976978482,,4.08E-06,0.999100591
GDSC1,917486,9,0.003906,1,0.087711,0.705811,2.611733037,0.927505,ACH-000252,MG-132,BRD-K60230970,0.990897449,0.706325619,-6.899602131,0.61083466,0.966204198,,0.000271906,0.977496865
GDSC1,924106,9,0.003906,1,0.090398,0.52824,2.025835079,0.941297,ACH-000902,MG-132,BRD-K60230970,0.940889715,1.241922792,-7.803812877,-0.465955845,0.935388422,,0.000575958,0.891788648
GDSC1,924110,9,0.003906,1,0.18957,-0.451024,0.499099402,0.800375,ACH-000267,MG-132,BRD-K60230970,,,,,,,,
GDSC1,924186,9,0.003906,1,0.12495,-0.260386,0.655587827,0.814135,ACH-002149,MG-132,BRD-K60230970,0.941889789,0.504134249,-12.71208785,0.315721764,0.864547166,-0.88887603,0.001402932,0.968277734
GDSC1,924188,9,0.003906,1,0.154866,-1.290836,0.150110588,0.614319,ACH-002259,MG-132,BRD-K60230970,0.860635276,0.287337628,-1.553236179,0.12336874,0.683408088,-1.839492016,0.013656553,0.796915289
GDSC1,924238,9,0.003906,1,0.159156,0.16001,1.196252795,0.897123,ACH-002148,MG-132,BRD-K60230970,0.956017268,0.659438951,-8.678376934,0.44599437,0.917439674,-0.246007838,0.009996475,0.736631839
GDSC1,924239,9,0.003906,1,0.17086,-1.028766,0.21839149,0.706712,ACH-000183,MG-132,BRD-K60230970,1.00011142,0.240712875,-9.595735102,0.007529579,0.74512813,-2.052303873,1.78E-06,0.99998986
GDSC1,924244,9,0.003906,1,0.19646,-1.678523,0.086206733,0.547308,ACH-000587,MG-132,BRD-K60230970,0.917420692,0.137321549,-1.937026369,0.015262716,0.592715542,-2.975697882,0.018683748,0.869084977
GDSC1,924247,9,0.003906,1,0.160691,0.185752,1.241127201,0.900274,ACH-001400,MG-132,BRD-K60230970,0.991817578,1.334172739,-7.352591717,-4.946484052,0.975304743,-0.05588025,0.000607298,0.985011228
GDSC1,924248,9,0.003906,1,0.189623,1.229212,5.522281002,0.97369,ACH-000772,MG-132,BRD-K60230970,,,,,,,,
GDSC1,925339,9,0.003906,1,0.128698,-1.758205,0.076919181,0.531778,ACH-002162,MG-132,BRD-K60230970,0.926574255,0.093182014,-2.306411195,0.139953015,0.589702902,-3.317740784,0.00451305,0.960329864
GDSC1,925343,9,0.003906,1,0.224117,-0.768018,0.317130791,0.727165,ACH-002271,MG-132,BRD-K60230970,0.922433033,0.500605055,-1.637940547,-0.138255966,0.757524599,-1.361767744,0.026460708,0.746171747
GDSC1,925345,9,0.003906,1,0.17385,0.098698,1.095794861,0.849396,,MG-132,BRD-K60230970,0.959639376,1.071232616,-5.04838525,-0.813909952,0.925778692,-0.200882337,0.000445703,0.991611663
GDSC1,930082,9,0.003906,1,0.16351,-0.219236,0.695339544,0.839625,ACH-000965,MG-132,BRD-K60230970,0.981126506,0.699880177,-3.464603666,-0.065165097,0.899908083,-0.5818337,0.004241828,0.941474413
GDSC1,946353,9,0.003906,1,0.178069,-1.106852,0.195308094,0.672096,ACH-000694,MG-132,BRD-K60230970,0.866779983,0.330462883,-3.4548213,0.01297736,0.695331138,-1.715826253,0.008799232,0.91679078
GDSC1,946355,9,0.003906,1,0.127424,0.417992,1.73024151,0.891189,ACH-000605,MG-132,BRD-K60230970,0.876785464,1.214704596,-8.635851832,-0.251094873,0.872759074,,0.000732608,0.808815499
GDSC1,946356,9,0.003906,1,0.155,0.213816,1.291969761,0.853279,ACH-002311,MG-132,BRD-K60230970,0.947135675,1.143625096,-12.0233778,-2.788435676,0.936958893,-0.045823663,0.000704729,0.981800414
GDSC1,946357,9,0.003906,1,0.13683,0.839507,3.162237985,0.97401,ACH-002201,MG-132,BRD-K60230970,0.907942004,1.83E+17,-0.296493737,-3.241220309,0.907926494,,0.002627521,-6.36E-05
GDSC1,946358,9,0.003906,1,0.020168,0.802929,3.001019307,0.965019,ACH-002317,MG-132,BRD-K60230970,0.989489745,3.316275735,-1.493433131,0.042317018,0.971841348,,0.000143423,0.926701522
GDSC1,946359,9,0.003906,1,0.045684,1.337845,6.450779653,0.958821,ACH-000927,MG-132,BRD-K60230970,0.991038903,0.640876622,-6.761127213,0.829715253,0.977887659,,0.000364178,0.863370511
GDSC1,946363,9,0.003906,1,0.056724,1.803424,12.5567328,0.980979,ACH-002261,MG-132,BRD-K60230970,,,,,,,,
GDSC1,946367,9,0.003906,1,0.136767,-2.049595,0.050698346,0.470331,ACH-002224,MG-132,BRD-K60230970,0.891119562,0.033337375,-14.86162533,0.314068939,0.537191645,-4.834524838,0.011720727,0.862224411
GDSC1,946368,9,0.003906,1,0.194545,-1.006653,0.225410747,0.686197,ACH-002225,MG-132,BRD-K60230970,0.972241549,0.241971007,-12.34976837,0.080905942,0.744160588,-2.033120648,0.00082812,0.99420038
GDSC1,946369,9,0.003906,1,0.256871,-0.428854,0.515183052,0.78827,ACH-002226,MG-132,BRD-K60230970,0.882389079,0.521202516,-14.9063402,0.071586458,0.78711066,-0.951085447,0.015618787,0.811389141
GDSC1,946370,9,0.003906,1,0.141042,-1.039361,0.21510629,0.670055,ACH-002227,MG-132,BRD-K60230970,0.959565406,0.248378141,-2.526641271,0.092585909,0.739998041,-1.940609031,0.001167739,0.988915015
GDSC1,946373,9,0.003906,1,0.061671,0.45057,1.812791641,0.863272,ACH-002229,MG-132,BRD-K60230970,0.956149735,0.237543551,-12.852841,0.727051958,0.896763695,,0.001139892,0.893965744
GDSC1,949088,9,0.003906,1,0.087295,0.220173,1.303772519,0.848442,ACH-002221,MG-132,BRD-K60230970,0.982713715,0.385091672,-3.967005903,0.54993525,0.90779503,,3.97E-05,0.998316684
